key,value
zip,77079
sector,Energy
fullTimeEmployees,86
longBusinessSummary,"SilverBow Resources, Inc., an energy company, engages in the exploration, development, and production of oil and gas from the Eagle Ford Shale in South Texas. As of December 31, 2019, it had proved reserves of 1,420 billion cubic feet of natural gas equivalent. The company was formerly known as Swift Energy Company and changed its name to SilverBow Resources, Inc. in May 2017. SilverBow Resources, Inc. was founded in 1979 and is headquartered in Houston, Texas."
city,Houston
phone,281 874 2700
state,TX
country,United States
companyOfficers,[]
website,http://www.sbow.com
maxAge,1
address1,575 North Dairy Ashford Road
industry,Oil & Gas E&P
address2,Suite 1200
previousClose,6.33
regularMarketOpen,6.38
twoHundredDayAverage,4.278007
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,6.58
navPrice,
averageDailyVolume10Day,119116
totalAssets,
regularMarketPreviousClose,6.33
fiftyDayAverage,4.8725834
trailingAnnualDividendRate,
open,6.38
averageVolume10days,119116
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.565336
circulatingSupply,
startDate,
regularMarketDayLow,5.91
priceHint,2
currency,USD
regularMarketVolume,118478
lastMarket,
maxSupply,
openInterest,
marketCap,76036776
volumeAllCurrencies,
strikePrice,
averageVolume,85581
priceToSalesTrailing12Months,0.39240533
dayLow,5.91
ask,0
ytdReturn,
askSize,800
volume,118478
fiftyTwoWeekHigh,10.88
forwardPE,1.4444444
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.5
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,6.58
exchange,NYQ
shortName,"SilverBow Resorces, Inc."
longName,"SilverBow Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,SBOW
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_306225
uuid,613c9c21-5738-3585-8132-cca7abeccc2c
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.726
beta3Year,
profitMargins,-1.61263
enterpriseToEbitda,3.079
52WeekChange,
morningStarRiskRating,
forwardEps,4.41
revenueQuarterlyGrowth,
sharesOutstanding,11936700
fundInceptionDate,
annualReportExpenseRatio,
bookValue,6.752
sharesShort,776520
sharesPercentSharesOut,0.0651
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.78505
netIncomeToCommon,-312481984
trailingEps,-26.336
lastDividendValue,
SandP52WeekChange,
priceToBook,0.94342417
heldPercentInsiders,0.016790000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,12.58
sharesShortPreviousMonthDate,1601424000
floatShares,4548233
enterpriseValue,528180192
threeYearAverageReturn,
lastSplitDate,876268800
lastSplitFactor,1:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.72
lastCapGain,
shortPercentOfFloat,0.1436
sharesShortPriorMonth,759141
category,
fiveYearAverageReturn,
regularMarketPrice,6.38
logo_url,https://logo.clearbit.com/sbow.com
