key,value
zip,73102
sector,Energy
fullTimeEmployees,270
longBusinessSummary,"SandRidge Energy, Inc. engages in the exploration, development, and production of oil, natural gas, and natural gas liquids primarily in the Mid-Continent and North Park Basin of the United States. As of December 31, 2019, it had 1,013 net producing wells; and approximately 511,000 net acres under lease, as well as total estimated proved reserves of 89.9 million barrels of oil equivalent. The company is headquartered in Oklahoma City, Oklahoma. On May 16, 2016, SandRidge Energy, Inc. and its direct and indirect subsidiaries filed voluntary petitions for reorganization under Chapter 11 of the United States Bankruptcy Code in the United States Bankruptcy Court for the Southern District of Texas."
city,Oklahoma City
phone,405 429 5500
state,OK
country,United States
companyOfficers,[]
website,http://www.sandridgeenergy.com
maxAge,1
address1,123 Robert S. Kerr Avenue
industry,Oil & Gas E&P
previousClose,2.88
regularMarketOpen,2.98
twoHundredDayAverage,1.6913669
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,3.09
navPrice,
averageDailyVolume10Day,542500
totalAssets,
regularMarketPreviousClose,2.88
fiftyDayAverage,2.0633333
trailingAnnualDividendRate,
open,2.98
averageVolume10days,542500
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.2266529999999998
circulatingSupply,
startDate,
regularMarketDayLow,2.8200000000000003
priceHint,4
currency,USD
regularMarketVolume,671873
lastMarket,
maxSupply,
openInterest,
marketCap,104910928
volumeAllCurrencies,
strikePrice,
averageVolume,407816
priceToSalesTrailing12Months,0.7259669
dayLow,2.8200000000000003
ask,0
ytdReturn,
askSize,3000
volume,671873
fiftyTwoWeekHigh,4.41
forwardPE,2.678899
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.7000000000000001
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,3.09
exchange,NYQ
shortName,"SandRidge Energy, Inc."
longName,"SandRidge Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,SD
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_4368532
uuid,38f99abb-c1d3-39c2-b7c0-669e7bc373c0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.727
beta3Year,
profitMargins,0
enterpriseToEbitda,1.385
52WeekChange,
morningStarRiskRating,
forwardEps,1.09
revenueQuarterlyGrowth,
sharesOutstanding,35928400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,3.5869999999999997
sharesShort,494033
sharesPercentSharesOut,0.013800000000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.55064
netIncomeToCommon,-526340000
trailingEps,-14.776
lastDividendValue,
SandP52WeekChange,
priceToBook,0.8140508
heldPercentInsiders,0.012740000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.16
sharesShortPreviousMonthDate,1601424000
floatShares,31585814
enterpriseValue,105043656
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.54
lastCapGain,
shortPercentOfFloat,0.0165
sharesShortPriorMonth,628791
category,
fiveYearAverageReturn,
regularMarketPrice,2.98
logo_url,https://logo.clearbit.com/sandridgeenergy.com
