key,value
zip,80203
sector,Energy
fullTimeEmployees,530
longBusinessSummary,"SM Energy Company, an independent energy company, engages in the acquisition, exploration, development, and production of crude oil and condensate, natural gas, and natural gas liquids in the state of Texas. As of December 31, 2019, the company had 462.0 million barrels of oil equivalent of estimated proved reserves; and working interests in 807 gross productive oil wells and 519 gross productive gas wells in the Midland Basin and South Texas. The company was formerly known as St. Mary Land & Exploration Company and changed its name to SM Energy Company in May 2010. SM Energy Company was founded in 1908 and is headquartered in Denver, Colorado."
city,Denver
phone,303 861 8140
state,CO
country,United States
companyOfficers,[]
website,http://www.sm-energy.com
maxAge,1
address1,1775 Sherman Street
industry,Oil & Gas E&P
address2,Suite 1200
previousClose,4.11
regularMarketOpen,4.54
twoHundredDayAverage,2.911439
trailingAnnualDividendYield,0.00486618
payoutRatio,
volume24Hr,
regularMarketDayHigh,4.71
navPrice,
averageDailyVolume10Day,11736800
totalAssets,
regularMarketPreviousClose,4.11
fiftyDayAverage,2
trailingAnnualDividendRate,0.02
open,4.54
averageVolume10days,11736800
expireDate,
yield,
algorithm,
dividendRate,0.02
exDividendDate,1603324800
beta,5.711386
circulatingSupply,
startDate,
regularMarketDayLow,4.25
priceHint,4
currency,USD
regularMarketVolume,11008616
lastMarket,
maxSupply,
openInterest,
marketCap,527035776
volumeAllCurrencies,
strikePrice,
averageVolume,5996030
priceToSalesTrailing12Months,0.43725179999999997
dayLow,4.25
ask,0
ytdReturn,
askSize,1000
volume,11008616
fiftyTwoWeekHigh,12.4
forwardPE,-2.987013
fromCurrency,
fiveYearAvgDividendYield,0.88
fiftyTwoWeekLow,0.9
bid,0
tradeable,False
dividendYield,0.0049
bidSize,4000
dayHigh,4.71
exchange,NYQ
shortName,SM Energy Company
longName,SM Energy Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,SM
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_323532
uuid,4e0d4f6c-e306-36f5-a3f3-e2a7422c1c5a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.365
beta3Year,
profitMargins,-0.58199
enterpriseToEbitda,3.277
52WeekChange,
morningStarRiskRating,
forwardEps,-1.54
revenueQuarterlyGrowth,
sharesOutstanding,114573000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,19.072
sharesShort,11260047
sharesPercentSharesOut,0.0983
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.72420996
netIncomeToCommon,-701494016
trailingEps,-6.191
lastDividendValue,
SandP52WeekChange,
priceToBook,0.24119127
heldPercentInsiders,0.01828
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.43
sharesShortPreviousMonthDate,1601424000
floatShares,105781629
enterpriseValue,2850704128
threeYearAverageReturn,
lastSplitDate,1112313600
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.06
lastCapGain,
shortPercentOfFloat,0.13350001
sharesShortPriorMonth,10118698
category,
fiveYearAverageReturn,
regularMarketPrice,4.54
logo_url,https://logo.clearbit.com/sm-energy.com
