key,value
zip,75230
sector,Energy
fullTimeEmployees,20
longBusinessSummary,"Spindletop Oil & Gas Co., an independent oil and gas company, engages in the acquisition, exploration, development, and production of oil and natural gas in Alabama, Arkansas, Louisiana, Oklahoma, New Mexico, and Texas, the United States. The company holds approximately 84,248 gross acres under lease in 14 states. As of December 31, 2019, its net proved crude oil and natural gas reserves were 228,747 barrels of oil and condensate; and 4.520 billion cubic feet of natural gas. The company is also involved in the rental of oilfield equipment. In addition, it owns various miles of pipelines located in Texas and other states, which are used for gathering natural gas, as well as transporting natural gas produced by the company and third parties. Further, the company engages in commercial real estate leasing business. It sells crude oil and natural gas to oil and gas companies, brokers, pipelines, and distributors, as well as oil and natural gas properties. The company was founded in 1985 and is headquartered in Dallas, Texas."
city,Dallas
phone,972 644 2581
state,TX
country,United States
companyOfficers,[]
website,http://www.spindletopoil.com
maxAge,1
address1,One Spindletop Centre
fax,972 661 2701
industry,Oil & Gas E&P
address2,Suite 200 12850 Spurling Road
previousClose,2.42
regularMarketOpen,2.4
twoHundredDayAverage,1.917482
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,2.47
navPrice,
averageDailyVolume10Day,1300
totalAssets,
regularMarketPreviousClose,2.42
fiftyDayAverage,2.021111
trailingAnnualDividendRate,
open,2.4
averageVolume10days,1300
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.3190520000000001
circulatingSupply,
startDate,
regularMarketDayLow,2.4
priceHint,4
currency,USD
regularMarketVolume,1101
lastMarket,
maxSupply,
openInterest,
marketCap,16297209
volumeAllCurrencies,
strikePrice,
averageVolume,749
priceToSalesTrailing12Months,4.524489
dayLow,2.4
ask,0
ytdReturn,
askSize,0
volume,1101
fiftyTwoWeekHigh,2.86
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.01
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,2.47
exchange,PNK
shortName,SPINDLETOP OIL & GAS CO TEX
longName,Spindletop Oil & Gas Co.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,SPND
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3182364
uuid,f7becfe4-e466-3893-a83a-cccce5b205ae
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.37
beta3Year,
profitMargins,-0.26346
enterpriseToEbitda,-10.5
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,6755320
fundInceptionDate,
annualReportExpenseRatio,
bookValue,2.343
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0
netIncomeToCommon,-949000
trailingEps,-0.14
lastDividendValue,
SandP52WeekChange,
priceToBook,1.0296628
heldPercentInsiders,0.8734700000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,
sharesShortPreviousMonthDate,
floatShares,854750
enterpriseValue,8536205
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,2.4
logo_url,https://logo.clearbit.com/spindletopoil.com
