key,value
zip,77389
sector,Energy
fullTimeEmployees,923
longBusinessSummary,"Southwestern Energy Company, an independent energy company, engages in the exploration, development, and production of natural gas, oil, and natural gas liquids (NGLs) in the United States. It operates through Exploration and Production, and Marketing segments. The company focuses on the development of unconventional natural gas reservoirs located in Pennsylvania and West Virginia. As of December 31, 2019, it had approximately 173,994 net acres in Northeast Appalachia; and approximately 287,693 net acres in Southwest Appalachia. The company's estimated proved natural gas, oil, and NGLs reserves comprise 12,721 billion cubic feet of natural gas equivalent (Bcfe); and 929 Bcfe of proved undeveloped reserves. It also engages in marketing of natural gas, oil, and NGLs. It serves energy companies, utilities, and industrial purchasers of natural gas. Southwestern Energy Company was founded in 1929 and is headquartered in Spring, Texas."
city,Spring
phone,832-796-1000
state,TX
country,United States
companyOfficers,[]
website,http://www.swn.com
maxAge,1
address1,10000 Energy Drive
industry,Oil & Gas E&P
previousClose,3.12
regularMarketOpen,3.21
twoHundredDayAverage,2.7943165
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,3.38
navPrice,
averageDailyVolume10Day,14757900
totalAssets,
regularMarketPreviousClose,3.12
fiftyDayAverage,2.8416667
trailingAnnualDividendRate,
open,3.21
averageVolume10days,14757900
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,956016000
beta,1.595828
circulatingSupply,
startDate,
regularMarketDayLow,3.17
priceHint,4
currency,USD
regularMarketVolume,17759346
lastMarket,
maxSupply,
openInterest,
marketCap,2259310336
volumeAllCurrencies,
strikePrice,
averageVolume,15649730
priceToSalesTrailing12Months,0.9935402
dayLow,3.17
ask,0
ytdReturn,
askSize,1200
volume,17759346
fiftyTwoWeekHigh,3.9
forwardPE,4.294872
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.06
bid,0
tradeable,False
dividendYield,
bidSize,45900
dayHigh,3.38
exchange,NYQ
shortName,Southwestern Energy Company
longName,Southwestern Energy Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,SWN
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_304260
uuid,9bb92ab5-754c-36b8-b4c9-4554bef0a406
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.988
beta3Year,
profitMargins,-1.27968
enterpriseToEbitda,10.346
52WeekChange,
morningStarRiskRating,
forwardEps,0.78
revenueQuarterlyGrowth,
sharesOutstanding,674420992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.635
sharesShort,60777484
sharesPercentSharesOut,0.1004
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.93551004
netIncomeToCommon,-2910000128
trailingEps,-5.308
lastDividendValue,
SandP52WeekChange,
priceToBook,5.2755904000000005
heldPercentInsiders,0.0058999998
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.04
sharesShortPreviousMonthDate,1601424000
floatShares,600804251
enterpriseValue,4521208832
threeYearAverageReturn,
lastSplitDate,1206489600
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.43
lastCapGain,
shortPercentOfFloat,0.20030001
sharesShortPriorMonth,68950713
category,
fiveYearAverageReturn,
regularMarketPrice,3.21
logo_url,https://logo.clearbit.com/swn.com
