key,value
zip,75001
sector,Energy
fullTimeEmployees,147
longBusinessSummary,"TransAtlantic Petroleum Ltd., an oil and natural gas company, engages in the acquisition, exploration, development, and production of oil and natural gas properties in Turkey and Bulgaria. As of December 31, 2019, it had interests in 4 onshore exploration licenses and 20 onshore production leases covering an area of 436,388 net acres with a total net proved reserves of 10,259 thousand barrels of oil and 2,466 million cubic feet of natural gas located in Turkey, as well as a production concession covering an area of approximately 162,800 net undeveloped acres located in Bulgaria. The company was incorporated in 1985 and is based in Addison, Texas."
city,Addison
phone,214 220 4323
state,TX
country,United States
companyOfficers,[]
website,http://www.transatlanticpetroleum.com
maxAge,1
address1,16803 Dallas Parkway
fax,214 265 4798
industry,Oil & Gas E&P
address2,Suite 200
previousClose,0.234
regularMarketOpen,0.275
twoHundredDayAverage,0.26597119999999996
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.2751
navPrice,
averageDailyVolume10Day,2565050
totalAssets,
regularMarketPreviousClose,0.234
fiftyDayAverage,0.24027778
trailingAnnualDividendRate,
open,0.275
averageVolume10days,2565050
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.259301
circulatingSupply,
startDate,
regularMarketDayLow,0.2351
priceHint,4
currency,USD
regularMarketVolume,5864182
lastMarket,
maxSupply,
openInterest,
marketCap,17416616
volumeAllCurrencies,
strikePrice,
averageVolume,2241430
priceToSalesTrailing12Months,0.43585125
dayLow,0.2351
ask,0
ytdReturn,
askSize,900
volume,5864182
fiftyTwoWeekHigh,0.84
forwardPE,4.236667
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.12
bid,0
tradeable,False
dividendYield,
bidSize,2900
dayHigh,0.2751
exchange,ASE
shortName,TransAtlantic Petroleum Ltd
longName,TransAtlantic Petroleum Ltd.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,TAT
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_876617
uuid,be3b655e-bf12-3a5f-9892-fe508c0e8f88
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.691
beta3Year,
profitMargins,-0.93050003
enterpriseToEbitda,3.245
52WeekChange,
morningStarRiskRating,
forwardEps,0.06
revenueQuarterlyGrowth,
sharesOutstanding,76335600
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.255
sharesShort,3395882
sharesPercentSharesOut,0.044499997
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.13385001
netIncomeToCommon,-37183000
trailingEps,-0.537
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.55776
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.06
sharesShortPreviousMonthDate,1601424000
floatShares,39469648
enterpriseValue,67572616
threeYearAverageReturn,
lastSplitDate,1394150400
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.067600004
sharesShortPriorMonth,2265172
category,
fiveYearAverageReturn,
regularMarketPrice,0.275
logo_url,https://logo.clearbit.com/transatlanticpetroleum.com
