key,value
zip,80111
sector,Energy
fullTimeEmployees,12
longBusinessSummary,"Tengasco, Inc., together with its subsidiaries, explores for and produces oil and natural gas in the United States. It primarily holds interests in the oil and gas properties located in Kansas. As of December 31, 2019, the company had 174 producing oil wells, 13 shut-in wells, and 37 active disposal wells. The company was formerly known as Onasco Companies, Inc. and changed its name to Tengasco, Inc. in 1995. Tengasco, Inc. was founded in 1916 and is headquartered in Greenwood Village, Colorado."
city,Greenwood Village
phone,720 420 4460
state,CO
country,United States
companyOfficers,[]
website,http://www.tengasco.com
maxAge,1
address1,8000 East Maplewood Avenue
fax,720 554 7622
industry,Oil & Gas E&P
address2,Suite 130
previousClose,1.23
regularMarketOpen,1.31
twoHundredDayAverage,0.76431656
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.3599999999999999
navPrice,
averageDailyVolume10Day,451783
totalAssets,
regularMarketPreviousClose,1.23
fiftyDayAverage,0.9652778
trailingAnnualDividendRate,
open,1.31
averageVolume10days,451783
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.361894
circulatingSupply,
startDate,
regularMarketDayLow,1.156
priceHint,4
currency,USD
regularMarketVolume,647913
lastMarket,
maxSupply,
openInterest,
marketCap,13676032
volumeAllCurrencies,
strikePrice,
averageVolume,1324220
priceToSalesTrailing12Months,3.9918365
dayLow,1.156
ask,0
ytdReturn,
askSize,3100
volume,647913
fiftyTwoWeekHigh,4.36
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.37
bid,0
tradeable,False
dividendYield,
bidSize,1800
dayHigh,1.3599999999999999
exchange,ASE
shortName,"Tengasco, Inc."
longName,"Tengasco, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,TGC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_400390
uuid,990f48d1-609c-3401-bba6-c64cc6eeff88
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.344
beta3Year,
profitMargins,-0.60158
enterpriseToEbitda,-8.46
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,10684400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.418
sharesShort,333228
sharesPercentSharesOut,0.031200000000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.52859
netIncomeToCommon,-2061000
trailingEps,-0.193
lastDividendValue,
SandP52WeekChange,
priceToBook,3.0622008
heldPercentInsiders,0.0198
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.1
sharesShortPreviousMonthDate,1601424000
floatShares,5184613
enterpriseValue,11455054
threeYearAverageReturn,
lastSplitDate,1458777600
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.06430000000000001
sharesShortPriorMonth,5706
category,
fiveYearAverageReturn,
regularMarketPrice,1.31
logo_url,https://logo.clearbit.com/tengasco.com
