key,value
zip,89149
sector,Energy
longBusinessSummary,"Tiger Oil and Energy, Inc. focuses on the exploration, development, and production of oil and gas assets in the United States. It holds a 30% working interest in the DeFore and Stalnaker leases in Cowley County, Kansas. The company was formerly known as UTEC, Inc. and changed its name to Tiger Oil and Energy, Inc. in September 2010. Tiger Oil and Energy, Inc. is headquartered in Las Vegas, Nevada."
city,Las Vegas
phone,702-336-0356
state,NV
country,United States
companyOfficers,[]
website,http://www.tigeroilandenergy.com
maxAge,1
address1,7230 Indian Creek Lane
industry,Oil & Gas Integrated
address2,Suite 201
previousClose,0.0001
regularMarketOpen,0.0001
twoHundredDayAverage,0.0001017986
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.00015000000000000001
navPrice,
averageDailyVolume10Day,3581970
totalAssets,
regularMarketPreviousClose,0.0001
fiftyDayAverage,9.86111e-05
trailingAnnualDividendRate,
open,0.0001
averageVolume10days,3581970
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,-108.26268
circulatingSupply,
startDate,
regularMarketDayLow,0.0001
priceHint,4
currency,USD
regularMarketVolume,8000
lastMarket,
maxSupply,
openInterest,
marketCap,224836
volumeAllCurrencies,
strikePrice,
averageVolume,4308472
priceToSalesTrailing12Months,20.499271
dayLow,0.0001
ask,0
ytdReturn,
askSize,0
volume,8000
fiftyTwoWeekHigh,0.0002
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1e-05
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.00015000000000000001
exchange,PNK
shortName,TIGER OIL & ENERGY INC
longName,"Tiger Oil and Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,TGRO
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_25599973
uuid,37179c85-461d-3489-91e0-cd4abf40b06a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,93.925
beta3Year,
profitMargins,0
enterpriseToEbitda,-3.7800000000000002
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,1498909952
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.002
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0
netIncomeToCommon,-1212979
trailingEps,-0.004
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.044710003000000005
nextFiscalYearEnd,1609372800
mostRecentQuarter,1569801600
shortRatio,
sharesShortPreviousMonthDate,
floatShares,1149783148
enterpriseValue,1030167
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.0001
logo_url,https://logo.clearbit.com/tigeroilandenergy.com
