key,value
zip,75093
sector,Energy
fullTimeEmployees,4
longBusinessSummary,"Torchlight Energy Resources, Inc., through its subsidiaries, engages in the acquisition, exploration, exploitation, and/or development of oil and natural gas properties in the United States. As of December 31, 2019, it had interests in four oil and gas projects, including the Orogrande project in Hudspeth County, Texas; Hazel project in Sterling, Tom Green, and Irion Counties, Texas; Winkler project in Winkler County, Texas; and Hunton wells in partnership with Husky Ventures in central Oklahoma. The company was founded in 2010 and is headquartered in Plano, Texas."
city,Plano
phone,214 432 8002
state,TX
country,United States
companyOfficers,[]
website,http://www.torchlightenergy.com
maxAge,1
address1,5700 West Plano Parkway
industry,Oil & Gas E&P
address2,Suite 3600
previousClose,0.314
regularMarketOpen,0.32
twoHundredDayAverage,0.3223741
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.335
navPrice,
averageDailyVolume10Day,584066
totalAssets,
regularMarketPreviousClose,0.314
fiftyDayAverage,0.28527778
trailingAnnualDividendRate,
open,0.32
averageVolume10days,584066
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.347237
circulatingSupply,
startDate,
regularMarketDayLow,0.3178
priceHint,4
currency,USD
regularMarketVolume,965063
lastMarket,
maxSupply,
openInterest,
marketCap,33379802
volumeAllCurrencies,
strikePrice,
averageVolume,1343886
priceToSalesTrailing12Months,104.62969
dayLow,0.3178
ask,0
ytdReturn,
askSize,800
volume,965063
fiftyTwoWeekHigh,1.09
forwardPE,-5.5833335
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.21
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,0.335
exchange,NCM
shortName,"Torchlight Energy Resources, In"
longName,"Torchlight Energy Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,TRCH
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_111580294
uuid,b7c54086-5fbe-3ef4-9f1b-c1775c17034a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,152.385
beta3Year,
profitMargins,0
enterpriseToEbitda,-16.705
52WeekChange,
morningStarRiskRating,
forwardEps,-0.06
revenueQuarterlyGrowth,
sharesOutstanding,99641200
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.158
sharesShort,6146975
sharesPercentSharesOut,0.0618
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.14335
netIncomeToCommon,-13897315
trailingEps,-0.164
lastDividendValue,
SandP52WeekChange,
priceToBook,2.120253
heldPercentInsiders,0.17892000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.19
sharesShortPreviousMonthDate,1601424000
floatShares,75293356
enterpriseValue,48615200
threeYearAverageReturn,
lastSplitDate,1292371200
lastSplitFactor,4:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.073699996
sharesShortPriorMonth,6269409
category,
fiveYearAverageReturn,
regularMarketPrice,0.32
logo_url,https://logo.clearbit.com/torchlightenergy.com
