key,value
zip,76102
sector,Energy
longBusinessSummary,"Titan Energy, LLC,an integrated energy drilling and production company, develops, acquires, and manages oil and gas properties. It owns the Mississippi Lime and Hunton located in northwestern Oklahoma; Utica Shale in eastern Ohio; Black Warrior Basin located in central Alabama; and Eagle Ford Shale located in southern Texas. The company has 1 Tcfe of proved reserves and an interest in approximately 14,000 producing wells in 17 states. It also sponsor of tax-advantaged direct investment natural gas and oil partnerships. Titan Energy, LLC was founded in 2011 and is headquartered in Fort Worth, Texas."
city,Fort Worth
phone,800-251-0171
state,TX
country,United States
companyOfficers,[]
website,http://www.titanenergyllc.com
maxAge,1
address1,425 Houston Street
industry,Oil & Gas E&P
address2,Suite 300
previousClose,0.031
regularMarketOpen,0.049600000000000005
twoHundredDayAverage,0.044266187000000005
trailingAnnualDividendYield,1.2258065
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.031
navPrice,
averageDailyVolume10Day,183
totalAssets,
regularMarketPreviousClose,0.031
fiftyDayAverage,0.03497222
trailingAnnualDividendRate,0.038
open,0.049600000000000005
averageVolume10days,183
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.489013
circulatingSupply,
startDate,
regularMarketDayLow,0.031
priceHint,4
currency,USD
regularMarketVolume,1100
lastMarket,
maxSupply,
openInterest,
marketCap,176247
volumeAllCurrencies,
strikePrice,
averageVolume,1183
priceToSalesTrailing12Months,0.0006373637
dayLow,0.031
ask,0
ytdReturn,
askSize,0
volume,1100
fiftyTwoWeekHigh,0.12
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.021
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.031
exchange,PNK
shortName,TITAN ENERGY LLC
longName,"Titan Energy, LLC"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,TTEN
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_141758794
uuid,ccc4d31e-656a-3897-a979-179295d4b590
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.8679999999999999
beta3Year,
profitMargins,-0.07204
enterpriseToEbitda,7.185
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,5444790
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.006
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1483142400
heldPercentInstitutions,0.157
netIncomeToCommon,-249307008
trailingEps,-2.811
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0
nextFiscalYearEnd,1546214400
mostRecentQuarter,1506729600
shortRatio,
sharesShortPreviousMonthDate,
floatShares,4220750
enterpriseValue,516644800
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.049600000000000005
logo_url,https://logo.clearbit.com/titanenergyllc.com
