key,value
zip,H3A 2R7
sector,
longBusinessSummary,"United Corporations Limited is a closed ended equity fund launched and managed by Jarislowsky, Fraser Limited. It is co-managed by ValueInvest Asset Management S.A. It invests in the public equity markets of Canada. The fund also makes its investments in units of in Emerging Markets Investors Fund. It makes its investments in stocks of companies operating across diversified sectors. The fund benchmarks the performance of its portfolio against the S&P/TSX Composite Index, MSCI World Index, and S&P 500 Index. It was formerly known as Consolidated Investment Corporation of Canada. United Corporations Limited was formed on February 1, 1929 and is domiciled in Canada."
city,Montreal
phone,514-842-2727
state,QC
country,Canada
companyOfficers,[]
website,http://www.ucorp.ca/ucl_gi.htm
maxAge,1
address1,1010 Sherbrooke Street West
fax,514-842-1882
industry,
address2,20th Floor
previousClose,75.65134
regularMarketOpen,75.83
twoHundredDayAverage,70.535324
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,75.838
navPrice,
averageDailyVolume10Day,600
totalAssets,
regularMarketPreviousClose,75.65134
fiftyDayAverage,72.5375
trailingAnnualDividendRate,
open,75.83
averageVolume10days,600
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.673338
circulatingSupply,
startDate,
regularMarketDayLow,75.83
priceHint,2
currency,USD
regularMarketVolume,800
lastMarket,
maxSupply,
openInterest,
marketCap,929576640
volumeAllCurrencies,
strikePrice,
averageVolume,186
priceToSalesTrailing12Months,
dayLow,75.83
ask,0
ytdReturn,
askSize,0
volume,800
fiftyTwoWeekHigh,76.8
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,51.98
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,75.838
exchange,PNK
shortName,UNITED CORPS-CORPORATIONS UNIES
longName,United Corporations Limited
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,UCPLF
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_873948
uuid,e0695d43-26ce-3e2a-bc4d-808082bb8b9e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,
beta3Year,
profitMargins,0.7793500000000001
enterpriseToEbitda,
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,12194200
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1585612800
heldPercentInstitutions,0
netIncomeToCommon,
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.75488997
nextFiscalYearEnd,1648684800
mostRecentQuarter,1601424000
shortRatio,
sharesShortPreviousMonthDate,
floatShares,
enterpriseValue,917783360
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,2.324
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,75.83
logo_url,https://logo.clearbit.com/ucorp.ca
