key,value
zip,77057
sector,Energy
fullTimeEmployees,2
longBusinessSummary,"U.S. Energy Corp., an independent energy company, focuses on the acquisition, exploration, and development of oil and natural gas properties in the United States. It holds interests in various oil and gas properties primarily in North Dakota and South Texas. The company was founded in 1966 and is based in Houston, Texas."
city,Houston
phone,303 993 3200
state,TX
country,United States
companyOfficers,[]
website,http://www.usnrg.com
maxAge,1
address1,675 Bering Drive
industry,Oil & Gas E&P
address2,Suite 100
previousClose,3.47
regularMarketOpen,4
twoHundredDayAverage,5.277698
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,4.5
navPrice,
averageDailyVolume10Day,325583
totalAssets,
regularMarketPreviousClose,3.47
fiftyDayAverage,4.5386109999999995
trailingAnnualDividendRate,
open,4
averageVolume10days,325583
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1183420800
beta,1.122322
circulatingSupply,
startDate,
regularMarketDayLow,3.89
priceHint,4
currency,USD
regularMarketVolume,2321201
lastMarket,
maxSupply,
openInterest,
marketCap,12274887
volumeAllCurrencies,
strikePrice,
averageVolume,517300
priceToSalesTrailing12Months,4.3776345
dayLow,3.89
ask,0
ytdReturn,
askSize,800
volume,2321201
fiftyTwoWeekHigh,18.57
forwardPE,-11.078948
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,2.44
bid,0
tradeable,False
dividendYield,
bidSize,1400
dayHigh,4.5
exchange,NCM
shortName,U.S. Energy Corp.
longName,U.S. Energy Corp.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,USEG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_310778
uuid,ea3bff9b-9548-3e50-94ed-5571ed638454
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.8870000000000005
beta3Year,
profitMargins,-2.1305299
enterpriseToEbitda,-8.127
52WeekChange,
morningStarRiskRating,
forwardEps,-0.38
revenueQuarterlyGrowth,
sharesOutstanding,2915650
fundInceptionDate,
annualReportExpenseRatio,
bookValue,3.114
sharesShort,77641
sharesPercentSharesOut,0.044
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.08465999
netIncomeToCommon,-6383000
trailingEps,-4.642
lastDividendValue,
SandP52WeekChange,
priceToBook,1.3519589
heldPercentInsiders,0.27511
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.16
sharesShortPreviousMonthDate,1601424000
floatShares,1955558
enterpriseValue,13701903
threeYearAverageReturn,
lastSplitDate,1578268800
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.070300005
sharesShortPriorMonth,41631
category,
fiveYearAverageReturn,
regularMarketPrice,4
logo_url,https://logo.clearbit.com/usnrg.com
