key,value
zip,79701
sector,Energy
longBusinessSummary,"Viper Energy Partners LP owns, acquires, and exploits oil and natural gas properties in North America. As of December 31, 2019, it had mineral interests in 24,304 net royalty acres in the Permian Basin and Eagle Ford Shale with estimated proved oil and natural gas reserves of 88,946 thousand barrels of crude oil equivalent. Viper Energy Partners GP LLC operates as the general partner of the company. The company was founded in 2013 and is based in Midland, Texas. Viper Energy Partners LP operates as a subsidiary of Diamondback Energy, Inc."
city,Midland
phone,432-221-7400
state,TX
country,United States
companyOfficers,[]
website,http://www.viperenergy.com
maxAge,1
address1,500 West Texas
industry,Oil & Gas Midstream
address2,Suite 1200
previousClose,10.9
regularMarketOpen,11.27
twoHundredDayAverage,9.544172
trailingAnnualDividendYield,0.062385324000000006
payoutRatio,
volume24Hr,
regularMarketDayHigh,11.59
navPrice,
averageDailyVolume10Day,801166
totalAssets,
regularMarketPreviousClose,10.9
fiftyDayAverage,8.163889
trailingAnnualDividendRate,0.68
open,11.27
averageVolume10days,801166
expireDate,
yield,
algorithm,
dividendRate,0.4
exDividendDate,1604966400
beta,2.344419
circulatingSupply,
startDate,
regularMarketDayLow,11.23
priceHint,2
currency,USD
regularMarketVolume,1202829
lastMarket,
maxSupply,
openInterest,
marketCap,1801377920
volumeAllCurrencies,
strikePrice,
averageVolume,613458
priceToSalesTrailing12Months,7.3129535
dayLow,11.23
ask,0
ytdReturn,
askSize,1100
volume,1202829
fiftyTwoWeekHigh,26.83
forwardPE,103.27273
fromCurrency,
fiveYearAvgDividendYield,7.2
fiftyTwoWeekLow,4.98
bid,0
tradeable,False
dividendYield,0.0352
bidSize,900
dayHigh,11.59
exchange,NMS
shortName,Viper Energy Partners LP
longName,Viper Energy Partners LP
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,VNOM
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_249853894
uuid,a025a4d6-ee56-3438-8c54-bf8478152cf5
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,10.506
beta3Year,
profitMargins,-0.65926003
enterpriseToEbitda,13.66
52WeekChange,
morningStarRiskRating,
forwardEps,0.11
revenueQuarterlyGrowth,
sharesOutstanding,67862304
fundInceptionDate,
annualReportExpenseRatio,
bookValue,10.71
sharesShort,1833308
sharesPercentSharesOut,0.011600000000000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.76888
netIncomeToCommon,-162330000
trailingEps,-2.41
lastDividendValue,
SandP52WeekChange,
priceToBook,1.0606909
heldPercentInsiders,0.004390000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3
sharesShortPreviousMonthDate,1601424000
floatShares,61638631
enterpriseValue,2587885568
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-13.74
lastCapGain,
shortPercentOfFloat,0.0367
sharesShortPriorMonth,2636881
category,
fiveYearAverageReturn,
regularMarketPrice,11.27
logo_url,https://logo.clearbit.com/viperenergy.com
