key,value
zip,80203-4547
sector,Energy
fullTimeEmployees,505
longBusinessSummary,"Whiting Petroleum Corporation, an independent oil and gas company, engages in the acquisition, exploration, development, and production of crude oil, natural gas, and natural gas liquids primarily in the Rocky Mountains region of the United States. The company sells its oil and gas production to end users, marketers, and other purchasers. As of December 31, 2019, it had interests in 2,171 net productive wells on approximately 523,600 net developed acres, as well as total estimated proved reserves of 485.4 million barrels of oil equivalent. The company was founded in 1980 and is headquartered in Denver, Colorado."
city,Denver
phone,303 837 1661
state,CO
country,United States
companyOfficers,[]
website,http://www.whiting.com
maxAge,1
address1,1700 Lincoln Street
fax,303 861 4023
industry,Oil & Gas E&P
address2,Suite 4700
previousClose,21.44
regularMarketOpen,21.82
twoHundredDayAverage,8.193525
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,23.1599
navPrice,
averageDailyVolume10Day,676383
totalAssets,
regularMarketPreviousClose,21.44
fiftyDayAverage,17.234446
trailingAnnualDividendRate,
open,21.82
averageVolume10days,676383
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,21.03
priceHint,2
currency,USD
regularMarketVolume,986358
lastMarket,
maxSupply,
openInterest,
marketCap,822666944
volumeAllCurrencies,
strikePrice,
averageVolume,1676175
priceToSalesTrailing12Months,0.91337514
dayLow,21.03
ask,0
ytdReturn,
askSize,800
volume,986358
fiftyTwoWeekHigh,28
forwardPE,36.64407
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.25
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,23.1599
exchange,NYQ
shortName,Whiting Petroleum Corporation
longName,Whiting Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,WLL
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3711992
uuid,0cb845fe-c80d-34d5-8dd0-ca8d1919d4ac
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.362
beta3Year,
profitMargins,0
enterpriseToEbitda,2.303
52WeekChange,
morningStarRiskRating,
forwardEps,0.59
revenueQuarterlyGrowth,
sharesOutstanding,38051200
fundInceptionDate,
annualReportExpenseRatio,
bookValue,32.311
sharesShort,859309
sharesPercentSharesOut,0.022600000000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.8214600000000001
netIncomeToCommon,-4072677888
trailingEps,-46.84
lastDividendValue,
SandP52WeekChange,
priceToBook,0.669122
heldPercentInsiders,0.007640000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.98
sharesShortPreviousMonthDate,1601424000
floatShares,36104130
enterpriseValue,1227042176
threeYearAverageReturn,
lastSplitDate,1510185600
lastSplitFactor,1:4
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.27
lastCapGain,
shortPercentOfFloat,0.0164
sharesShortPriorMonth,435204
category,
fiveYearAverageReturn,
regularMarketPrice,21.82
logo_url,https://logo.clearbit.com/whiting.com
