key,value
zip,74172-0172
sector,Energy
fullTimeEmployees,590
longBusinessSummary,"WPX Energy, Inc., an independent oil and natural gas exploration and production company, engages in the exploitation and development of unconventional properties in the United States. It produces oil, natural gas, and natural gas liquids. The company operates 688 wells and owns interests in 787 wells covering an area of approximately 122,000 net acres located in Delaware Basin, Texas, and New Mexico; and operates 404 wells and owns interests in 104 wells that covers an area of approximately 87,000 net acres situated in the Williston Basin, North Dakota. As of December 31, 2019, it had proved reserves of 528 million barrels of oil equivalent. The company was founded in 1983 and is headquartered in Tulsa, Oklahoma."
city,Tulsa
phone,855 979 2012
state,OK
country,United States
companyOfficers,[]
website,http://www.wpxenergy.com
maxAge,1
address1,3500 One Williams Center
industry,Oil & Gas E&P
previousClose,7.44
regularMarketOpen,7.65
twoHundredDayAverage,5.680288
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,7.91
navPrice,
averageDailyVolume10Day,8107016
totalAssets,
regularMarketPreviousClose,7.44
fiftyDayAverage,5.2883334
trailingAnnualDividendRate,
open,7.65
averageVolume10days,8107016
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.56708
circulatingSupply,
startDate,
regularMarketDayLow,7.57
priceHint,2
currency,USD
regularMarketVolume,10186160
lastMarket,
maxSupply,
openInterest,
marketCap,4409782272
volumeAllCurrencies,
strikePrice,
averageVolume,9522481
priceToSalesTrailing12Months,2.1385946
dayLow,7.57
ask,0
ytdReturn,
askSize,1300
volume,10186160
fiftyTwoWeekHigh,14.43
forwardPE,-52.399998
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.94
bid,0
tradeable,False
dividendYield,
bidSize,36900
dayHigh,7.91
exchange,NYQ
shortName,"WPX Energy, Inc."
longName,"WPX Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,WPX
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_131112810
uuid,0ff860a6-9397-3cb9-95e8-92cca17fa611
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.608
beta3Year,
profitMargins,-0.52085
enterpriseToEbitda,6.425
52WeekChange,
morningStarRiskRating,
forwardEps,-0.15
revenueQuarterlyGrowth,
sharesOutstanding,561020032
fundInceptionDate,
annualReportExpenseRatio,
bookValue,8.086
sharesShort,27161995
sharesPercentSharesOut,0.048400000000000006
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9913200000000001
netIncomeToCommon,-891000000
trailingEps,-2.152
lastDividendValue,
SandP52WeekChange,
priceToBook,0.9720504
heldPercentInsiders,0.0074800000000000005
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.05
sharesShortPreviousMonthDate,1601424000
floatShares,403371349
enterpriseValue,7439778816
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,1.44
lastCapGain,
shortPercentOfFloat,0.0675
sharesShortPriorMonth,31057886
category,
fiveYearAverageReturn,
regularMarketPrice,7.65
logo_url,https://logo.clearbit.com/wpxenergy.com
