key,value
zip,77046-0908
sector,Energy
fullTimeEmployees,291
longBusinessSummary,"W&T Offshore, Inc., an independent oil and natural gas producer, engages in the acquisition, exploration, and development of oil and natural gas properties in the Gulf of Mexico. The company sells crude oil, natural gas liquids, and natural gas. It holds working interests in approximately 51 offshore fields in federal and state waters. The company also owns interests in approximately 146 offshore structures. It has interests in offshore leases covering approximately 550,000 net acres spanning across the Outer Continental Shelf off the coasts of Louisiana, Texas, Mississippi, and Alabama. As of December 31, 2019, its total proved reserves were 157.4 million barrels of oil equivalent. The company was founded in 1983 and is headquartered in Houston, Texas."
city,Houston
phone,713 626 8525
state,TX
country,United States
companyOfficers,[]
website,http://www.wtoffshore.com
maxAge,1
address1,Nine Greenway Plaza
fax,713 626 8527
industry,Oil & Gas E&P
address2,Suite 300
previousClose,2.05
regularMarketOpen,2.2
twoHundredDayAverage,2.2068346
trailingAnnualDividendYield,0.04878049
payoutRatio,0
volume24Hr,
regularMarketDayHigh,2.45
navPrice,
averageDailyVolume10Day,4628300
totalAssets,
regularMarketPreviousClose,2.05
fiftyDayAverage,1.6733333
trailingAnnualDividendRate,0.1
open,2.2
averageVolume10days,4628300
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1415923200
beta,3.339346
circulatingSupply,
startDate,
regularMarketDayLow,2.2
priceHint,4
currency,USD
trailingPE,6.06599
regularMarketVolume,13005348
lastMarket,
maxSupply,
openInterest,
marketCap,338849440
volumeAllCurrencies,
strikePrice,
averageVolume,3072020
priceToSalesTrailing12Months,0.8487106999999999
dayLow,2.2
ask,0
ytdReturn,
askSize,27000
volume,13005348
fiftyTwoWeekHigh,6.1
forwardPE,-19.916668
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.07
bid,0
tradeable,False
dividendYield,
bidSize,3100
dayHigh,2.45
exchange,NYQ
shortName,"W&T Offshore, Inc."
longName,"W&T Offshore, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,WTI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_4640784
uuid,261d885e-a78e-3bbb-be86-a5db544aa0be
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.301
beta3Year,
profitMargins,0.14100000000000001
enterpriseToEbitda,5.32
52WeekChange,
morningStarRiskRating,
forwardEps,-0.12
revenueQuarterlyGrowth,
sharesOutstanding,141778000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-1.409
sharesShort,17696796
sharesPercentSharesOut,0.12480000000000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.38369998
netIncomeToCommon,55648000
trailingEps,0.394
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.34771
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,7.87
sharesShortPreviousMonthDate,1601424000
floatShares,92286571
enterpriseValue,918566784
threeYearAverageReturn,
lastSplitDate,1075334400
lastSplitFactor,500:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.15
lastCapGain,
shortPercentOfFloat,0.1893
sharesShortPriorMonth,17146924
category,
fiveYearAverageReturn,
regularMarketPrice,2.2
logo_url,https://logo.clearbit.com/wtoffshore.com
