key,value
zip,75034
sector,Energy
fullTimeEmployees,1
longBusinessSummary,"West Texas Resources, Inc. acquires, explores for, and develops oil and gas properties in North America. The company holds a 50% working interest in non-operating leases covering approximately 1,070 gross mineral acre leases in a property located in Hale County, Texas; 1% working interest in an oil prospect located in Floyd County, Texas; 25% working interest in oil and gas properties located in Gregg County, Texas; and 25% working interest in an East Texas oil and gas property. It also holds a 100% interest in Kiowa properties located in North Dakota, Florida, Illinois, and Kentucky. The company was formerly known as Texas Resources Energy, Inc. and changed its name to West Texas Resources, Inc. in June 2011. West Texas Resources, Inc. was founded in 2010 and is headquartered in Frisco, Texas."
city,Frisco
phone,972-712-2154
state,TX
country,United States
companyOfficers,[]
website,http://www.westtexasresources.com
maxAge,1
address1,5729 Lebanon Road
industry,Oil & Gas E&P
address2,Suite 144
previousClose,0.184
regularMarketOpen,0.184
twoHundredDayAverage,0.1533187
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.184
navPrice,
averageDailyVolume10Day,316
totalAssets,
regularMarketPreviousClose,0.184
fiftyDayAverage,0.14921111
trailingAnnualDividendRate,
open,0.184
averageVolume10days,316
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.055242
circulatingSupply,
startDate,
regularMarketDayLow,0.184
priceHint,4
currency,USD
regularMarketVolume,10
lastMarket,
maxSupply,
openInterest,
marketCap,1708390
volumeAllCurrencies,
strikePrice,
averageVolume,917
priceToSalesTrailing12Months,169.03038
dayLow,0.184
ask,0
ytdReturn,
askSize,0
volume,10
fiftyTwoWeekHigh,0.25
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.075
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.184
exchange,PNK
shortName,WEST TEXAS RESOURCES INC
longName,"West Texas Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,WTXR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_130912314
uuid,03485b9e-d4aa-32f5-a445-eed5c71fb818
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,332.362
beta3Year,
profitMargins,0
enterpriseToEbitda,-9.209
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,17083900
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.002
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1506729600
heldPercentInstitutions,0
netIncomeToCommon,-364371
trailingEps,-0.021
lastDividendValue,
SandP52WeekChange,
priceToBook,91.99999
heldPercentInsiders,0.51434
nextFiscalYearEnd,1569801600
mostRecentQuarter,1506729600
shortRatio,
sharesShortPreviousMonthDate,
floatShares,8518398
enterpriseValue,3359186
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.184
logo_url,https://logo.clearbit.com/westtexasresources.com
