key,value
zip,80203-4537
sector,Energy
fullTimeEmployees,747
longBusinessSummary,"Cimarex Energy Co. operates as an independent oil and gas exploration and production company primarily in Texas, Oklahoma, and New Mexico. As of December 31, 2019, it had a total proved reserves of 619.6 million barrels of oil equivalent, consisting of 1.53 trillion cubic feet of natural gas; 169.8 million barrels (MMBbls) of oil; and 194.5 MMBbls of natural gas liquids primarily located in the Permian Basin and Mid-Continent regions. The company also owned interests in 2,782 net productive oil and gas wells. Cimarex Energy Co. was founded in 2002 and is headquartered in Denver, Colorado."
city,Denver
phone,303-295-3995
state,CO
country,United States
companyOfficers,[]
website,http://www.cimarex.com
maxAge,1
address1,1700 Lincoln Street
fax,303-569-7400
industry,Oil & Gas E&P
address2,Suite 3700
previousClose,37.59
regularMarketOpen,39.04
twoHundredDayAverage,27.13
trailingAnnualDividendYield,0.022878425
payoutRatio,
volume24Hr,
regularMarketDayHigh,39.47
navPrice,
averageDailyVolume10Day,1578533
totalAssets,
regularMarketPreviousClose,37.59
fiftyDayAverage,28.086945
trailingAnnualDividendRate,0.86
open,39.04
averageVolume10days,1578533
expireDate,
yield,
algorithm,
dividendRate,0.88
exDividendDate,1605139200
beta,2.363021
circulatingSupply,
startDate,
regularMarketDayLow,37.865
priceHint,2
currency,USD
regularMarketVolume,2099125
lastMarket,
maxSupply,
openInterest,
marketCap,3958441984
volumeAllCurrencies,
strikePrice,
averageVolume,1539543
priceToSalesTrailing12Months,2.178504
dayLow,37.865
ask,0
ytdReturn,
askSize,800
volume,2099125
fiftyTwoWeekHigh,55.29
forwardPE,10.455525
fromCurrency,
fiveYearAvgDividendYield,1.06
fiftyTwoWeekLow,12.15
bid,0
tradeable,False
dividendYield,0.025500000000000002
bidSize,1000
dayHigh,39.47
exchange,NYQ
shortName,Cimarex Energy Co
longName,Cimarex Energy Co.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,XEC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_1683286
uuid,56b7cb58-4697-32dc-8793-49af87b25bb4
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.162
beta3Year,
profitMargins,-1.30776
enterpriseToEbitda,5.83
52WeekChange,
morningStarRiskRating,
forwardEps,3.71
revenueQuarterlyGrowth,
sharesOutstanding,102048000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,15.49
sharesShort,2470550
sharesPercentSharesOut,0.024200000000000003
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9496
netIncomeToCommon,-2380322048
trailingEps,-23.834
lastDividendValue,
SandP52WeekChange,
priceToBook,2.5041964
heldPercentInsiders,0.017400000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.63
sharesShortPreviousMonthDate,1601424000
floatShares,97439853
enterpriseValue,5746383872
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,2.61
lastCapGain,
shortPercentOfFloat,0.027800000000000002
sharesShortPriorMonth,3113054
category,
fiveYearAverageReturn,
regularMarketPrice,39.04
logo_url,https://logo.clearbit.com/cimarex.com
