key,value
zip,80202
sector,Energy
fullTimeEmployees,323
longBusinessSummary,"Extraction Oil & Gas, Inc., an independent oil and gas company, focuses on the acquisition, development, and production of oil, natural gas, and natural gas liquid reserves in the Rocky Mountain region, primarily in the Wattenberg Field of the Denver-Julesburg (DJ) Basin of Colorado. The company also engages in the construction and support of midstream assets to gather, process, and produce crude oil and gas. As of December 31, 2019, it had approximately 169,900 net acres of contiguous acreage blocks in the productive areas of the DJ Basin; held approximately 125,500 net acres outside of the Core DJ Basin; had estimated proved reserves of approximately 254.1 MMBoe; and had 1,509 gross producing wells. The company was founded in 2012 and is headquartered in Denver, Colorado. On June 14, 2020, Extraction Oil & Gas, Inc., along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of Delaware."
city,Denver
phone,720 557 8300
state,CO
country,United States
companyOfficers,[]
website,http://www.extractionog.com
maxAge,1
address1,370 17th Street
fax,720 557 8301
industry,Oil & Gas E&P
address2,Suite 5300
previousClose,0.055
regularMarketOpen,0.0548
twoHundredDayAverage,0.16146043000000002
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.0648
navPrice,
averageDailyVolume10Day,519550
totalAssets,
regularMarketPreviousClose,0.055
fiftyDayAverage,0.05161111
trailingAnnualDividendRate,
open,0.0548
averageVolume10days,519550
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.108531
circulatingSupply,
startDate,
regularMarketDayLow,0.051000000000000004
priceHint,4
currency,USD
regularMarketVolume,749633
lastMarket,
maxSupply,
openInterest,
marketCap,8288483
volumeAllCurrencies,
strikePrice,
averageVolume,471858
priceToSalesTrailing12Months,0.013142367
dayLow,0.051000000000000004
ask,
ytdReturn,
askSize,
volume,749633
fiftyTwoWeekHigh,2.585
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.034
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.0648
exchange,PNK
shortName,"Extraction Oil & Gas, Inc."
longName,"Extraction Oil & Gas, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,XOGAQ
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_252088241
uuid,8c4899f1-ad80-33fd-8211-4ced92c3c8ec
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.042
beta3Year,
profitMargins,0
enterpriseToEbitda,1.7429999999999999
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,138372000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,28291880
sharesPercentSharesOut,0.2048
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.36953998
netIncomeToCommon,-2207120896
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.07644000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.75
sharesShortPreviousMonthDate,1589500800
floatShares,79390693
enterpriseValue,657259456
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1592179200
pegRatio,0
lastCapGain,
shortPercentOfFloat,0.2863
sharesShortPriorMonth,23369159
category,
fiveYearAverageReturn,
regularMarketPrice,0.0548
logo_url,https://logo.clearbit.com/extractionog.com
