key,value
zip,77027
sector,Energy
fullTimeEmployees,22
longBusinessSummary,"Yuma Energy, Inc. focuses on the acquisition, development, and exploration for conventional and unconventional oil and natural gas resources in the United States. It has onshore properties located in central and southern Louisiana, and southeastern Texas; and operated and non-operated assets in south Louisiana, including Cameron, LaFourche, Livingston, St. Helena, St. Bernard, and Vermilion parishes. The company also holds operated and non-operated assets located in Jefferson and Madison counties, southeast Texas; non-operated position in the East Texas Woodbine; and operated positions in Kern County in California. Yuma Energy, Inc. is based in Houston, Texas. On October 19, 2020, the voluntary petition of Yuma Energy, Inc. for reorganization under Chapter 11 was converted to Chapter 7. It had filed for Chapter 11 bankruptcy on April 15, 2020."
city,Houston
phone,713-968-7068
state,TX
country,United States
companyOfficers,[]
website,http://www.yumaenergyinc.com
maxAge,1
address1,1177 West Loop South
fax,713-968-7016
industry,Oil & Gas E&P
address2,Suite 1825
previousClose,0.065
regularMarketOpen,0.0898
twoHundredDayAverage,0.14341007
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.08990000000000001
navPrice,
averageDailyVolume10Day,6066
totalAssets,
regularMarketPreviousClose,0.065
fiftyDayAverage,0.0555
trailingAnnualDividendRate,
open,0.0898
averageVolume10days,6066
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.885411
circulatingSupply,
startDate,
regularMarketDayLow,0.031200000000000002
priceHint,4
currency,USD
regularMarketVolume,24983
lastMarket,
maxSupply,
openInterest,
marketCap,51060
volumeAllCurrencies,
strikePrice,
averageVolume,6073
priceToSalesTrailing12Months,0.0043518260000000005
dayLow,0.031200000000000002
ask,
ytdReturn,
askSize,
volume,24983
fiftyTwoWeekHigh,5.1
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.012
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.08990000000000001
exchange,PNK
shortName,YUMA ENERGY INC
longName,"Yuma Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,YUMAQ
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_325473428
uuid,1ae0f3b1-18ad-3750-bb2d-9d7fac710f0e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.333
beta3Year,
profitMargins,-2.05007
enterpriseToEbitda,-10.374
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,1551990
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,133884
sharesPercentSharesOut,0.0863
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0.0001
netIncomeToCommon,-25649636
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.15226
nextFiscalYearEnd,1609372800
mostRecentQuarter,1569801600
shortRatio,1.37
sharesShortPreviousMonthDate,1582848000
floatShares,1171372
enterpriseValue,3902982
threeYearAverageReturn,
lastSplitDate,1562112000
lastSplitFactor,1:15
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1585612800
pegRatio,
lastCapGain,
shortPercentOfFloat,0.1507
sharesShortPriorMonth,98831
category,
fiveYearAverageReturn,
regularMarketPrice,0.0898
logo_url,https://logo.clearbit.com/yumaenergyinc.com
