key,value
zip,75243
sector,Energy
fullTimeEmployees,20
longBusinessSummary,"Zion Oil & Gas, Inc. operates as an oil and gas exploration company in Israel. It holds a petroleum exploration license onshore Israel, the Megiddo-Jezreel License comprising an area of approximately 99,000 acres. The company was founded in 2000 and is headquartered in Dallas, Texas."
city,Dallas
phone,214 221 4610
state,TX
country,United States
companyOfficers,[]
website,http://www.zionoil.com
maxAge,1
address1,12655 North Central Expressway
fax,214 221 6510
industry,Oil & Gas E&P
address2,Suite 1000
previousClose,0.805
regularMarketOpen,0.8300000000000001
twoHundredDayAverage,0.371
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.884
navPrice,
averageDailyVolume10Day,2427766
totalAssets,
regularMarketPreviousClose,0.805
fiftyDayAverage,0.5025000000000001
trailingAnnualDividendRate,
open,0.8300000000000001
averageVolume10days,2427766
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.074971
circulatingSupply,
startDate,
regularMarketDayLow,0.8210000000000001
priceHint,4
currency,USD
regularMarketVolume,2921193
lastMarket,
maxSupply,
openInterest,
marketCap,204144608
volumeAllCurrencies,
strikePrice,
averageVolume,3184779
priceToSalesTrailing12Months,
dayLow,0.8210000000000001
ask,
ytdReturn,
askSize,
volume,2921193
fiftyTwoWeekHigh,0.884
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.13
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.884
exchange,PNK
shortName,Zion Oil
longName,"Zion Oil & Gas, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ZNOG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_1276200
uuid,e74ed6f2-8c24-391f-9f99-4848c38e043e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,
beta3Year,
profitMargins,0
enterpriseToEbitda,-27.267
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,234622000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,3644948
sharesPercentSharesOut,0.0178
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.0013799999000000001
netIncomeToCommon,-6919000
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.04709000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.24
sharesShortPreviousMonthDate,1594771200
floatShares,223699935
enterpriseValue,173689360
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1597363200
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0179
sharesShortPriorMonth,3189505
category,
fiveYearAverageReturn,
regularMarketPrice,0.8300000000000001
logo_url,https://logo.clearbit.com/zionoil.com
