Company Name,Ticker,marketCap,fullTimeEmployees,enterpriseToEbitda,bookValue,sharesOutstanding,netIncomeToCommon,regularMarketPrice,website,phone,zipCode
Abraxas Petroleum Corp.,AXAS,,,,,,,,,,
Adams Resources & Energy Inc.,AE,,,,,,,,,,
Amplify Energy Corp.,AMPY,42928408.0,230.0,3.355,0.107,37656500.0,-453737984.0,0.99,http://www.amplifyenergy.com,713 490 8900,77002
Antero Resources Corp.,AR,1179470080.0,520.0,-74.317,21.106,268672000.0,-1819922944.0,4.3,http://www.anteroresources.com,303 357 7310,80202
Apache Corp.,APA,5299791360.0,3163.0,5.977,-4.347,377478016.0,-7846000128.0,13.56,http://www.apachecorp.com,713 296 6000,77056
Approach Resources Inc.,AREXQ,739679.0,99.0,11.437,,93630400.0,-48708000.0,0.007750000000000001,http://www.approachresources.com,817-989-9000,76116
Black Stone Minerals LP,BSM,,,,,,,,,,
Bonanza Creek Energy Inc.,BCEI,507734336.0,125.0,3.1310000000000002,47.18,20834400.0,40045000.0,25.55,http://www.bonanzacrk.com,720 440 6100,80202
Cabot Oil & Gas Corp.,COG,7186397696.0,547.0,11.941,5.315,398580000.0,216263008.0,17.94,http://www.cabotog.com,281 589 4600,77024
California Resources Corp.,CRC,1527250048.0,1100.0,4.6850000000000005,-47.295,0.0,-2024000000.0,16.1,http://www.crc.com,888 848 4754,91355
Callon Petroleum Co.,CPE,402694848.0,475.0,5.607,30.292,39752700.0,-2052093056.0,10.67,http://www.callon.com,281 589 5200,77042
Camber Energy Inc.,CEI,,,,,,,,,,
Centennial Resource Development Inc.,CDEV,354807520.0,195.0,4.374,10.085,278340992.0,-584563968.0,1.21,http://www.cdevinc.com,720 499 1400,80202
Chesapeak Energy Corp.,CHKAQ,,,,,,,,,,
Cimarex Energy Co.,XEC,3958441984.0,747.0,5.83,15.49,102048000.0,-2380322048.0,39.04,http://www.cimarex.com,303-295-3995,80203-4537
Citadel Exploration Inc.,COIL,930165.0,3.0,-7.7059999999999995,-0.194,48956200.0,-4335375.0,0.01615,http://www.citadelexploration.com,949-612-8040,92663
CKX Lands Inc.,CKS,,,,,,,,,,
CNX Resources Corp.,CNX,2243044608.0,467.0,11.066,19.018,224528992.0,-950942016.0,9.75,http://www.cnx.com,724 485 4000,15317-6506
Comstock Resources Inc.,CRK,1189995392.0,207.0,6.389,5.11,232420992.0,-120322000.0,4.8100000000000005,http://www.crkfrisco.com,972 668 8800,75034
Concho Resources Inc.,CXO,12667560960.0,1453.0,5.708,40.032,196304992.0,-10245000192.0,64.04,http://www.concho.com,432 683 7443,79701
ConocoPhillips,COP,47430324224.0,9800.0,8.515,28.696,1068009984.0,-1208999936.0,44.08,http://www.conocophillips.com,281 293 1000,77079-2703
Contango Oil & Gas Co.,MCF,264760032.0,124.0,8.672,-0.161,159494000.0,-278472992.0,1.72,http://www.contango.com,713 236 7400,77002
Continental Resources Inc.,CLR,6391594496.0,1260.0,6.426,17.022,365233984.0,-310425984.0,17.37,http://www.clr.com,405 234 9000,73102
Daybreak Oil & Gas Inc.,DBRM,725892.0,6.0,-12.122,-0.082,60491100.0,-822371.0,0.008,http://daybreakoilandgas.com,509 232 7674,99212
Diamondback Energy Inc.,FANG,7446846976.0,712.0,6.4,60.513,157972992.0,-4264999936.0,46.53,http://www.diamondbackenergy.com,432 221 7400,79701
Dorchester Minerals LP,DMLP,,,,,,,,,,
Earthstone Energy Inc.,ESTE,260228192.0,69.0,4.679,11.627,30210700.0,-7700000.0,3.8,http://www.earthstoneenergy.com,281 298 4246,77380
EOG Resources Inc.,EOG,31747428352.0,2900.0,5.952,34.539,583377984.0,-305516992.0,52.14,http://www.eogresources.com,713 651 7000,77002
